subhaloId,x,y,a,b,theta,g,r,i,z,g-r,r-i,i-z
0,119.34748452066506,119.1408808846017,25.387487411499023,23.613256454467773,0.04562147334218025,38.046378077709974,37.114412172508445,36.751772621927074,36.37538744455968,0.9319659052015297,0.36263955058137043,0.3763851773673963
1,119.35200447754363,118.76287053273055,38.506256103515625,11.317911148071289,-1.5367670059204102,39.930396560244816,39.011638636462656,38.66422910672266,38.324903339461706,0.9187579237821595,0.3474095297399984,0.3393257672609522
2,119.2052198863288,119.03786812049832,30.97132110595703,21.17447280883789,1.1435922384262085,40.58667184293698,39.68976057485025,39.35659955680599,39.03874654210294,0.8969112680867326,0.33316101804425813,0.31785301470304717
3,118.66747809332924,118.72225473597992,35.00310516357422,21.642913818359375,-0.7250156402587891,41.37524815908451,40.65798168845217,40.31613502145015,40.012047626059484,0.7172664706323388,0.3418466670020166,0.30408739539066687
4,119.91186754671378,118.9476380875374,32.89404296875,14.314421653747559,-0.1813139021396637,41.54147167920742,40.647567435076176,40.31896349018392,39.993506348309765,0.8939042441312424,0.32860394489225797,0.3254571418741534
5,119.05821811994518,119.83351552803573,25.12926483154297,12.691670417785645,1.3528636693954468,40.90937536736915,40.0088544021161,39.67155883754032,39.351697400437395,0.900520965253051,0.3372955645757827,0.31986143710292225
6,119.50450136241669,119.17731292785237,27.299617767333984,22.19565200805664,-0.06915535032749176,41.59404862733553,40.69470097110018,40.35469408855326,40.033523374994985,0.8993476562353493,0.34000688254692335,0.3211707135582742
7,119.77339373277071,119.3674831195526,18.09170913696289,9.318994522094727,-0.06391694396734238,40.95212190319515,40.03074706070183,39.68643840229919,39.35560410667975,0.9213748424933215,0.3443086584026389,0.33083429561943944
8,119.25384590346006,119.68958273975123,35.801578521728516,11.912355422973633,1.511215329170227,41.39710088245856,40.51524362860924,40.18006991039898,39.864347290062,0.8818572538493186,0.33517371821026387,0.3157226203369774
9,119.43148611674944,119.47379734034315,37.540340423583984,14.836258888244629,-0.9585084319114685,41.36917077790545,40.492717046810924,40.166344038069326,39.85711043197382,0.8764537310945286,0.3263730087415979,0.30923360609550343
10,117.4989917286392,120.96067197537499,47.784873962402344,19.280176162719727,-0.5146130919456482,41.68568717237998,40.94935776861908,40.613823387521556,40.324849163244,0.7363294037608981,0.3355343810975242,0.2889742242775597
11,118.57695751632058,120.11895046784788,37.65343475341797,17.244842529296875,-1.5187029838562012,42.38156900658951,41.50552114371786,41.12790296066375,40.8065432762395,0.8760478628716513,0.37761818305411055,0.32135968442424456
12,119.82490531590001,119.62309209304067,14.47836685180664,10.684734344482422,-0.018934760242700577,41.8525211036907,41.01379537749506,40.70392499477133,40.415149149967085,0.8387257261956407,0.30987038272373013,0.2887758448042419
17,119.87544605774,119.19049257623956,24.497905731201172,12.007769584655762,0.25685346126556396,42.88147783080582,42.167780890422485,41.846721209021126,41.56149545239386,0.7136969403833362,0.32105968140135843,0.2852257566272698
20,119.40994179033973,120.51360369104265,12.72335433959961,10.841935157775879,-0.5500668287277222,42.00718466735846,41.147026049758395,40.81964868528316,40.530651333178554,0.8601586176000637,0.32737736447523247,0.28899735210460875
23,118.99770989262146,119.71564189943739,31.8526554107666,9.619758605957031,-0.5421330332756042,42.788429717412285,41.90977693531199,41.58026252369876,41.27088638722196,0.8786527821002963,0.32951441161323203,0.30937613647679996
27,119.58731810773794,119.2533624286374,27.436176300048828,9.667760848999023,1.5376229286193848,42.63151690350577,41.760393773637915,41.43194993402429,41.12048068941586,0.8711231298678541,0.32844383961362666,0.31146924460843195
44,119.51373937828436,119.53207327977091,6.62744665145874,4.660236358642578,1.3830451965332031,43.178411949783566,42.255257939490676,41.90987446071249,41.578687027212965,0.9231540102928903,0.34538347877818865,0.3311874334995224
89,119.5358685979993,119.48398082296356,7.722074508666992,5.687467575073242,-0.8706561923027039,44.09154952742904,43.16357834577879,42.81547759252048,42.473802353543824,0.9279711816502498,0.3481007532583078,0.34167523897665575
105,119.57732745359361,119.60652889466925,14.942244529724121,12.968944549560547,0.37062954902648926,44.62332107162068,43.74206528740719,43.41246872659566,43.10758798296811,0.8812557842134865,0.329596560811531,0.3048807436275496
111,119.52248942094076,119.51797651846668,3.1340901851654053,2.4531383514404297,0.08743099868297577,43.89805904595676,42.99501891886983,42.645422358041344,42.28667799349965,0.9030401270869248,0.34959656082848767,0.35874436454169256
